"possession","period","tiempo","resultado","team.name","n","x_inicio","y_inicio","y_fin","n_eventos","n_pases","n_pasesC","n_traslados","n_driblesE","prom_av_p","prom_av_t","n_jugadores","n_centros","n_cdf","n_pases_arearival","n_ingresos_arearival","inicia_golero","reinicio_juego","zona_inicio","nzonas","vel_media_p","vel_media_c","vert_tot","horiz_tot","dist.promP","dist.promC","dist.medP","dist.medC","n_eq","mundial","prop_tiempo","tiempo_aj_pos","exito","grupo","exito_num","dataset"
152,2,1.76500000000032,"perdiendo","Panama",2,89.7,48.3999999999999,39.7,2,0,0,0,0,0,0,2,0,0,0,0,0,1,23,1,0,0,-86.7999999999999,-8.69999999999999,0,0,0,0,1,"F",0.00249512284769195,0.00726919768107894,"1","Grupo B",NA,"test"
163,2,9.82400000000052,"perdiendo","Panama",4,34.1,0,12,4,1,1,0,0,29.9,0,3,0,0,0,0,0,1,6,2,7.41,0,28,12,31.168093,0,31.168093,0,3,"F",0.0138878679069249,0.040460395478136,"1","Grupo A",NA,"test"
7,1,25.432,"empate","Argentina",27,5.8,42.2,69.9,7,7,7,8,0,2.8,0.81,5,0,0,0,0,1,0,3,3,4.73142857142857,0.2725,26.0999999999999,27.7,12.7426806571428,1.67474771936253,11.827087,0.747356399137524,24,"F",0.0258627177005855,0.154825674294763,"1","Grupo A",NA,"test"
17,1,1.79500000000001,"empate","Sweden",4,28.1,0,7.29999999999999,4,1,1,1,0,17.1,0.5,2,0,0,0,0,0,1,6,2,8.69,5.91,17.6,7.29999999999999,18.59301,0.5,18.59301,0.5,4,"F",0.00105046750192977,0.018989013105834,"0","Grupo A",NA,"test"
20,1,23.278,"empate","Argentina",31,42.3,5.9,65.9,5,10,9,7,0,-0.84,0.57,12,0,0,0,0,0,0,11,7,4.268,0.614285714285714,2.7,60,15.05185393,1.75269048819806,11.8804675,0,28,"F",0.0236722374423652,0.141712490021763,"0","Grupo A",NA,"test"
24,1,20.1239999999999,"empate","Sweden",27,85.3,69.5,57.3999999999999,6,7,7,7,0,1.26,0.36,11,0,0,0,0,0,0,25,8,10.35,1.01285714285714,11.2999999999999,-12.1,17.6960447142857,5.50633670941032,18.973665,3.46554469023269,23,"F",0.0117769403948938,0.212888523533036,"0","Grupo B",NA,"test"
27,1,1.96699999999998,"empate","Argentina",6,33.7,79.9,78.2,3,2,1,0,0,2.55,0,3,0,0,0,0,0,1,10,2,4.92,0,-1,-1.7,9.3548155,0,9.3548155,0,5,"F",0.00200031321630432,0.0119747601973024,"0","Grupo A",NA,"test"
34,1,3.90100000000006,"empate","Argentina",6,43.7,79.9,77.7,4,2,1,1,0,4.05,0.4,3,0,0,0,0,0,1,15,1,4.005,0.28,1.89999999999999,-2.2,8.5294415,1.17046999107195,8.5294415,1.17046999107195,5,"F",0.00396706754285884,0.0237486220283061,"0","Grupo A",NA,"test"
47,1,11.9059999999999,"empate","Sweden",12,20.3,0,0.900000000000005,4,5,4,1,0,0.32,1.3,5,0,0,0,0,0,1,6,3,2.612,4.2,3.19999999999999,0.900000000000005,17.4528294,8.40119039184328,16.122654,8.40119039184328,11,"F",0.00696761341391401,0.12595163790421,"1","Grupo A",NA,"test"
54,1,3.29600000000004,"empate","Argentina",8,28.7,79.9,78.2,4,3,2,1,0,0.3,1.1,3,0,0,0,0,0,1,10,1,5.57,0.66,-1.69999999999999,-1.7,4.78057816666667,1.1,5.047772,1.1,6,"F",0.00335182123077741,0.0200654853128163,"1","Grupo A",NA,"test"
